,IMMUCELL_Bn,IMMUCELL_Breg,IMMUCELL_CD4Tcm,IMMUCELL_CD4Tem,IMMUCELL_CD4Temra,IMMUCELL_CD4Tn,IMMUCELL_CD4Trm,IMMUCELL_CD8Tcm,IMMUCELL_CD8Tem,IMMUCELL_CD8Temra,IMMUCELL_CD8Tn,IMMUCELL_CD8Trm,IMMUCELL_cMo,IMMUCELL_FOB,IMMUCELL_GCB,IMMUCELL_ILC1,IMMUCELL_ILC2,IMMUCELL_ILC3,IMMUCELL_intMo,IMMUCELL_Langerhans,IMMUCELL_M0,IMMUCELL_M1,IMMUCELL_M2,IMMUCELL_MAIT,IMMUCELL_MDSC,IMMUCELL_MZB,IMMUCELL_NKT,IMMUCELL_ncMo,IMMUCELL_TAM,IMMUCELL_Tc,IMMUCELL_Tfh,IMMUCELL_Th1,IMMUCELL_Th1_17,IMMUCELL_Th17,IMMUCELL_Th2,IMMUCELL_Tr1,IMMUCELL_Treg,IMMUCELL_Basophil,IMMUCELL_cDC1,IMMUCELL_cDC2,IMMUCELL_cNK,IMMUCELL_Eosinophil,IMMUCELL_Bex,IMMUCELL_Tex,IMMUCELL_γδT,IMMUCELL_mastcell,IMMUCELL_MBC,IMMUCELL_monoDC,IMMUCELL_Neutrophil,IMMUCELL_pDC,IMMUCELL_PC,IMMUCELL_PB,IMMUCELL_NKreg,TIDE_TIDE,TIDE_IFNG,TIDE_MSI Score,TIDE_CD274,TIDE_CD8,TIDE_Dysfunction,TIDE_Exclusion,TIDE_MDSC,TIDE_CAF,TIDE_TAM M2,TIDE_CTL,IMMUNESUBTYPE_C1_Wound_Healing,IMMUNESUBTYPE_C2_IFN_gamma_Dominant,IMMUNESUBTYPE_C3_Inflammatory,IMMUNESUBTYPE_C4_Lymphocyte_Depleted,IMMUNESUBTYPE_C5_Immunologically_Quiet,IMMUNESUBTYPE_C6_TGF_beta_Dominant,IMPRES_Score,IMPRES_PDCD1_minus_TNFSF4,IMPRES_CD27_minus_PDCD1,IMPRES_CTLA4_minus_TNFSF4,IMPRES_CD40_minus_CD28,IMPRES_CD86_minus_TNFSF4,IMPRES_CD28_minus_CD86,IMPRES_CD80_minus_TNFSF9,IMPRES_CD274_minus_VSIR,IMPRES_CD86_minus_HAVCR2,IMPRES_CD40_minus_PDCD1,IMPRES_CD86_minus_CD200,IMPRES_CD40_minus_CD80,IMPRES_CD28_minus_CD276,IMPRES_CD40_minus_CD274,IMPRES_TNFRSF14_minus_CD86,IMPRES_Continuous_Sum
PD1_1,8.341616230238532e-05,3.51696811205609e-05,1.688064227174376e-05,1.491292317024053e-05,1.9074505745230563e-05,4.1983054604349126e-05,1.9421443528485043e-05,0.6082422514655058,2.379194165640251e-05,2.034189033950292e-05,3.3266744410539446e-05,1.7322425104112042e-05,1.596832694604257e-05,1.3586381230710374e-05,2.6733339764943166e-05,1.760584432412964e-05,1.4793719764150666e-05,2.1085426896982478e-05,1.957099238038985e-05,2.2716790956912265e-05,8.20041728659655e-05,7.807003110642743e-05,6.150969358823122e-05,1.4878059088830023e-05,0.01435433067713566,0.00046898689089716264,1.888794999497223e-05,2.021649568685085e-05,0.014687191496131971,5.1357797597683114e-05,2.5639276829720012e-05,7.876131326432648e-05,2.8924961878289403e-05,5.246520922436393e-05,4.141352724005169e-05,0.13067723580915164,3.21326908468571e-05,7.488866988751936e-05,2.946456249790095e-05,1.4539791888640867e-05,0.00027936356863333056,2.969101925091933e-05,0.0006375544114980889,1.9825114801967158e-05,4.250357907243068e-05,0.10240905440240211,8.990219012553613e-05,0.12377047896231322,1.6292674142695646e-05,3.890135740637983e-05,2.035020685185093e-05,0.0030178126376863876,1.5477096987801214e-05,0.08061763217996382,1.9457629945928625,0.855305635420596,2.1214926223546056,2.1399148125893026,0.08061763217996382,-2.424005935161289,-0.1389257522586771,-0.15730942944877183,-0.06984729030825322,1.7048815093250684,1.83076591042663e-06,0.205877520143986,0.0423600859940052,0.178216643631458,0.0004119506920687,0.0003679578367155,6,-0.10615296633212,-4.62814011755689,-1.22906923015771,-2.38670789267756,1.28127449616979,1.94255439798689,16.9690467434468,30.0762995949426,-27.8995994822957,0.943273967811233,-10.1750864873072,-5.77178413420612,-58.1182191716676,-33.4411737436836,699.078025777437,606.534541751909
PD1_4,5.5010042369243954e-05,3.19405695627425e-05,2.2116415385561878e-05,1.7939208289859646e-05,2.270470390785409e-05,7.838740714231298e-05,1.9545720460358717e-05,0.5776179694959244,2.814762582743246e-05,2.307588553853665e-05,3.6914032783289964e-05,2.451108611632116e-05,1.6899241364485732e-05,1.5051610249649496e-05,3.2120187410448445e-05,3.0884840994553e-05,1.913444448121139e-05,2.7933218721165242e-05,2.0482713868498492e-05,3.8893786689452596e-05,6.835055088128537e-05,4.8592253779865807e-05,4.999518466848195e-05,1.7733086251764033e-05,0.0002240029901610591,8.783209132011515e-05,3.2259408645027055e-05,2.484340528996839e-05,0.09501699339763324,0.0006793372222098574,4.015394379197513e-05,0.0003998976280421658,3.866923876352566e-05,0.0001292249529262136,8.362376591351628e-05,0.03646872922444182,3.9808774768123486e-05,9.116774827630488e-05,4.45233538176592e-05,1.8348389070416026e-05,0.0004685596551029985,2.8965575901900832e-05,6.844344363162606e-05,2.723360687563053e-05,0.0001137135009403783,0.08854458312938583,8.854437286378053e-05,0.17852480129132545,1.7943598173599724e-05,9.094617508449556e-05,2.410210769396342e-05,0.02019662689095553,2.17878043252267e-05,0.08692026525818493,1.6349725592529964,0.7517777223441575,1.3024637060777757,2.2450744327278094,0.08692026525818493,-2.214009884218308,-0.13315100612234407,-0.1176953134998775,-0.08847664359173958,1.5841841964376904,7.06479795553605e-06,0.0025956301251426,0.80309408903122,0.0446520186960697,0.00043139065383,0.0037344042211771,5,7.82540670982353,-5.36474848168823,7.21269010666815,-2.49533741814701,17.1247879888594,-12.9240849225666,7.35544930185425,-3.49307985594911,-16.4248116446028,-6.1200410616777,-98.0490768181678,-6.34793394527492,-54.3723518442715,-15.5544437964285,966.706121498136,785.078545816568
PD1_5,1.667433546402326e-05,1.633962830913391e-05,1.41030976900887e-05,1.159554212111662e-05,1.30466830140191e-05,3.870300790293951e-05,1.1371023138705262e-05,0.5730266377994907,1.4188377872006152e-05,1.275323383291816e-05,2.1749310874956723e-05,1.191202646085558e-05,1.1096579529930565e-05,7.689024047443958e-06,1.6552004485661063e-05,1.1378430685159448e-05,1.0126382699060538e-05,2.0730921385498886e-05,1.1303656218181001e-05,5.448888413683995e-05,0.009776720351342106,4.760006929372217e-05,2.9598864524917773e-05,1.0094961642177811e-05,0.04918580198498192,9.089331528646758e-06,1.8022038841868518e-05,1.190018357565708e-05,0.20967130873847922,0.00030652769666042413,2.116194535050068e-05,5.6013649609662395e-05,1.9769386335058874e-05,4.25361527320731e-05,3.673532297372589e-05,5.224291884005551e-05,2.188898635398573e-05,4.259216446329733e-05,2.200275508142978e-05,1.0413927224098872e-05,6.046222689415485e-05,8.173603165729478e-06,1.6908832426460226e-05,1.5043505997444538e-05,3.417778148946939e-05,0.15436681449626521,1.6894072625156903e-05,0.002663984529216859,1.2730169034829814e-05,3.119270910929169e-05,5.910618374573703e-06,6.5658091758488725e-06,1.6680267030749044e-05,2.6958479002472093,-2.0908517003103824,0.058332449078103886,-1.5033977758607149,-2.109754571294229,0.31087298421974213,2.6958479002472093,0.18014720767887923,0.18484659640883241,0.038979148049721316,-1.7417077462865902,0.297820545732975,0.0001065253454726,0.0245395796373487,0.987530082464218,0.0002228532175649,0.000903125735931,9,-3.64841159415601,0.904761969928691,5.81094209763415,-2.45964258609278,1.29379670641673,1.85105193241363,0.357173640768332,-21.0168134971088,-4.36638569506932,4.33361764689359,-27.0100477849614,2.50145751794854,-300.667115713068,1.71510155970826,59.8171169884863,-280.583396810259
PD1_6,0.0001349752695232078,5.043934312704668e-05,2.0959517844183957e-05,1.584924550997799e-05,2.0763627383824845e-05,0.00010599970225915777,1.6978352860147133e-05,0.6143040095417225,2.1819205548341527e-05,1.7310827870673932e-05,3.414876062854389e-05,2.092795636630375e-05,1.5981756115544936e-05,1.3976416755086783e-05,2.908710009373667e-05,2.6524744101618394e-05,1.7440950177429568e-05,2.586495057790399e-05,1.6827047093796717e-05,2.8845054239582456e-05,5.4131965188552035e-05,5.3410832681794886e-05,3.241857551774995e-05,2.0232141529758415e-05,0.00019265614349841772,0.0006282164664770689,3.285641943947039e-05,2.0268171075288958e-05,0.1279195051263794,0.00015161943190321835,4.011290311561043e-05,0.0005015821166598613,4.057750679289491e-05,0.00014250202426617438,7.78435536919538e-05,0.022877796036293824,3.790362721321587e-05,9.72636932425283e-05,4.739184385600258e-05,1.670163814242231e-05,0.0007726083338545097,8.14686280287311e-05,0.0027217811786822864,2.1400569519807726e-05,7.215469350864453e-05,0.038677594233866776,0.00039325181073957476,0.16307948414413903,2.3090682468806373e-05,0.00027178295457504643,2.5540913381158745e-05,0.02591693126409531,1.9191006376140738e-05,1.0906053619206046,1.8108725188804748,0.6423972597121909,1.564886641062731,0.6992470786335588,1.0906053619206046,-2.0326769897697297,-0.20430660097287728,-0.034260719103833936,-0.0667532471572533,0.6488672706179074,1.47985915646132e-05,0.0523033104836941,0.957662403583527,0.0245593646541238,0.0003530711110215,0.0056915080640465,9,-0.47920716572661,3.57387702713191,1.92855412664658,-20.6056621994769,31.2308316989889,2.70942449091236,13.9477489054175,-9.76844970533529,-2.9666498231525,13.8138011561509,26.5352044159561,4.18165121706534,-22.7022699205462,-9.90230097096688,141.599763546196,173.096316799261
PD1_7,3.591245413761237e-05,1.9739431578976423e-05,1.4104708310202147e-05,1.3345703481562745e-05,1.729210911599131e-05,6.128958412297173e-05,1.340836842988761e-05,0.49505896684490197,2.0464777781605678e-05,1.2795153074844625e-05,3.216371416968232e-05,1.6410320364043996e-05,1.264641182841345e-05,1.0565228135650365e-05,1.789265871242936e-05,1.370324613057861e-05,1.3109678783345393e-05,1.4669899639302803e-05,1.2991522747814802e-05,1.7785220834607433e-05,3.4507376622732316e-05,4.08519857539352e-05,2.7134657350431844e-05,1.1513324557799725e-05,0.00366134081965537,5.2844421471506924e-05,1.3726549680616217e-05,1.3479899486188194e-05,0.020892625062268723,4.7164089255184384e-05,2.833344095238317e-05,0.00013663798684057332,2.2556985248888407e-05,6.283071114918237e-05,4.431764301211186e-05,0.11036533343836448,4.094140737655016e-05,6.139257661219218e-05,2.1311793076831474e-05,1.1720291161870633e-05,0.032073339762840686,4.5021634542500726e-05,5.894099552858925e-05,1.769691537951647e-05,3.5707340869903744e-05,0.1577169910609421,7.107027426608525e-05,0.14356791357770055,1.5495266150281108e-05,3.872022890434874e-05,2.3736170586497e-05,0.035302086677224384,1.3458598885361003e-05,0.43784299026606077,1.8295927713625506,0.8636937016105268,1.6246355590738486,1.5495871495458053,0.43784299026606077,-1.9201004293348118,-0.09681184730954435,-0.13964655101415674,-0.05764381816839771,1.3027363200102287,1.84334840014344e-05,0.82968944311142,0.172756962478161,0.0231876950711012,0.0001734183206281,0.0141511266119778,8,-2.68651472428598,1.88560282250103,7.26804376882349,-9.4716117864835,3.11956393308276,9.5471551542432,5.98605360033615,-7.1437721303147,-18.1151706619503,5.88162202512843,-63.7046371817622,3.79711310729106,-111.895889615268,-17.9693397786283,185.128431182137,-8.37335028514946
PD1_8,8.569215163283168e-05,4.759990973574144e-05,2.109641011987689e-05,1.5804910563634265e-05,2.0405244948185703e-05,7.865172607882145e-05,1.795513900970935e-05,0.4652053611497552,2.3369935039647614e-05,2.0640672466614662e-05,3.425918875697772e-05,1.6602638278496854e-05,2.2888752051482746e-05,1.5445153013999128e-05,3.078887223642501e-05,1.9602651766156897e-05,1.7804824042597065e-05,2.7472606436674383e-05,2.859606687043827e-05,7.046914031315697e-05,7.719838621429292e-05,5.2147731065558e-05,7.800430553625505e-05,1.812109041675926e-05,0.04727769709866349,0.0011973912055429135,2.494876326103598e-05,2.6531969467156554e-05,0.24493104774722282,0.0017378482049754077,3.3939827405460927e-05,0.0004120389170401901,4.226134685393607e-05,8.884722028325553e-05,6.455868614024475e-05,0.03828628301337616,4.5642614544926565e-05,8.04188761854829e-05,9.249464889520948e-05,2.10271555231779e-05,0.09255999576637489,0.00013266655237878874,0.0011343484346312941,2.418967674417009e-05,5.297604364367627e-05,0.020702942210371333,0.00011196653741531446,0.08362075139074175,2.680160107352444e-05,9.506255581729526e-05,1.3437484136667146e-05,0.0010985292526353306,1.737654230525823e-05,3.1080360646910608,2.9723116446541242,0.37822243495687263,2.077220339933534,4.160404068423508,3.1080360646910608,-3.425962906014111,-0.2861630959932041,-0.10674907670335372,-0.12522334628941556,3.908453747445928,3.62440846402023e-06,0.299897402524948,0.65479764342308,0.0010477951727807,5.25163995916955e-05,0.0013999271905049,8,43.6448412085879,-18.5964450980744,6.62877661184699,-25.4938180973542,47.5504637034267,-12.9767291100291,9.2825458072531,-58.4872486485786,-77.9500824577016,-34.5649247125445,26.3394946874487,16.3124932802484,5.51919748549767,-12.0329617951389,291.06140214278,206.237005007668
PD1_9,1.6658569519489777e-05,9.71994932650065e-06,1.2168259067536273e-05,7.247172731189161e-06,1.0507241531029224e-05,4.8910797601681165e-05,1.0436264928161477e-05,0.8125182908188443,1.485390189430375e-05,1.0264411455522613e-05,2.5472200681294752e-05,1.1205431050746312e-05,8.666078127280647e-06,7.946134024232533e-06,1.1750275160960228e-05,7.77043130802632e-06,8.316561116322062e-06,1.6635299386946606e-05,9.813644751209374e-06,2.5557404654074662e-05,4.9065138174474804e-05,2.95911694757284e-05,3.504302528320818e-05,9.885186044638604e-06,4.107038540623501e-05,7.1656495706839525e-06,1.2998801611138538e-05,1.1150507072309072e-05,0.04034421651205651,2.876368305162952e-05,2.4079131134306733e-05,9.146359294769243e-05,1.765129080123631e-05,3.833702046082349e-05,2.7947759242736696e-05,0.004444934245461049,2.0216666706886938e-05,0.0008966525699086957,1.4052150729157481e-05,8.89278504695208e-06,4.9346906288035536e-05,5.0055160304029925e-06,1.6681235450445834e-05,1.4829900487842715e-05,2.681762461323359e-05,0.034405566540436895,2.0852118240034672e-05,0.10645069279471243,6.815404759828079e-06,3.795176199811048e-05,4.3915851369512865e-06,4.859676843833999e-06,1.082081765429415e-05,0.6153689238743627,-2.5908363951304496,0.5176253791748472,-2.636378497833041,-1.528746450812192,-1.1172624420857675,0.6153689238743627,0.07558573680260015,-0.03633138124732422,0.06010304110393752,-1.7669559269038484,6.70410645398078e-05,3.32015986259648e-06,0.322254538536072,0.142070606350899,0.0246518179774284,0.0004530305886873,7,-5.59999915636131,-0.0174391649588252,-5.60417913706717,32.3100734030231,-3.68957718030658,0.0931556106311753,-10.9856170317648,-6.99234058723686,0.32740061756137,34.313650989709,-23.0865740793284,34.3059774305082,-30.26782802634,33.7387297771096,672.574095851737,721.419529316915
PD1_10,1.8776724802932704e-05,1.3454139093597814e-05,1.4642240642735756e-05,1.2008226518160856e-05,1.426934762403164e-05,3.198138452313134e-05,1.3176543320772998e-05,0.5116901403385525,1.6841048817867277e-05,1.542970247611132e-05,2.5082634753014807e-05,1.4892888255952308e-05,1.2718417998633283e-05,9.674933467477304e-06,1.6519496631186993e-05,1.0461151499205811e-05,1.0448601080061647e-05,1.5216305924295895e-05,1.3247214714355698e-05,2.3187715903745773e-05,6.548549837312089e-05,3.829810219592697e-05,3.916049134616457e-05,1.2873332268026624e-05,0.001818828665264817,9.293421575518034e-06,1.6949672483420983e-05,1.6857648949067465e-05,0.038023104736077756,4.411737561045264e-05,2.519001417574148e-05,8.60243924675278e-05,2.3916249733610008e-05,5.227800151019736e-05,4.2235284096182605e-05,0.054499696248803325,2.9999935023162014e-05,9.690545189229765e-05,1.9209540335754352e-05,1.1317111026883918e-05,0.006201646466494357,8.932301756763755e-06,1.975730102480726e-05,1.6083117184665063e-05,3.857927752283756e-05,0.25408042368468825,1.981249397170831e-05,0.132585500116112,1.1318555245495917e-05,2.858091299035354e-05,5.878779839121966e-06,6.564498086851624e-06,1.3012265274522748e-05,1.0919433953922508,-0.2518428673324941,0.6366960669668972,-1.620796034826157,-1.4588148545662873,-0.6537373969997725,1.0919433953922508,0.09102924510869152,0.050225218145255705,0.025513215284636532,-1.353852250779142,0.0016820667951833,0.0006915794801898,0.0378970764577389,0.611563235521317,0.0015953307738527,0.000748160528019,8,-11.0422028807028,-1.11553969377605,0.89922595987394,10.2172216064109,-3.98824897638134,6.62687576115855,3.65502701447426,-8.91398079068256,-8.89696839252099,23.8980512718909,-24.22783522133,19.3857375522078,-85.7207954746677,22.9859629568068,311.258417063993,255.020947756754
PD1_11,3.1284896757326126e-05,2.2836241937075882e-05,2.391906482009915e-05,1.874412516233764e-05,2.6880606795155826e-05,6.460959650590381e-05,1.7738846483866693e-05,0.710405154094167,2.9504745164732677e-05,2.21344745787105e-05,3.935275237752246e-05,2.655456617323855e-05,1.8012096345473788e-05,1.4428609612458711e-05,3.271856560545177e-05,1.9268076816044163e-05,1.831057877120937e-05,2.835963474719321e-05,1.64996222766698e-05,2.5293694406814622e-05,0.00012862286045267813,4.7772026428078634e-05,2.675975984987899e-05,1.849032474777878e-05,0.0062892103246328995,1.8558001853493115e-05,3.056631961685176e-05,1.655720398451703e-05,0.099422668752253,8.685863312972278e-05,3.857065954637578e-05,0.00021010542448057432,3.29943534010033e-05,8.451443689055306e-05,6.970414170735678e-05,0.0004130162287654444,3.600361240540581e-05,9.19957854884544e-05,3.0887708213039995e-05,1.571241607407047e-05,6.254993632461342e-05,1.507787125172846e-05,3.0535425910693295e-05,2.3635521679134956e-05,0.00012102565117418467,0.07066525176194939,3.241961623722573e-05,0.1005580139515762,2.848659461211518e-05,0.010406970016316651,9.554216527890951e-06,1.372449417552921e-05,2.1581078839338936e-05,2.691055625406368,-1.2238458086329886,0.13583703724301888,-1.9022382298633775,-1.2729923790304296,-0.8407958205563668,2.691055625406368,0.1795113573554853,0.17136126349224856,0.04682155851149891,-1.0584251221223422,0.0978779699653387,2.11258366107359e-05,0.0002525736053939,0.480537682771683,0.0002635451601236,0.0008086456218734,3,-7.04697376510215,-0.574035421796187,-5.52761483777692,-3.59419268220532,-1.47952942349014,-1.68126074103074,2.81972949526872,-4.96395196663041,-4.85436950247582,0.291990918375955,-20.1418080930156,-1.6982913807354,-114.852853534252,-0.65825863962564,5.84185693674185,-158.11956263775
PD1_12,1.8890734414064912e-05,1.6516101794070283e-05,1.4917294118842255e-05,1.4068695840608446e-05,1.7330427253646418e-05,5.123571475451201e-05,1.4239134865741412e-05,0.6345795019514512,1.9128696775180848e-05,1.7100881550789756e-05,3.451670074274764e-05,1.4639940413471469e-05,1.3955414168964022e-05,9.892363561996317e-06,1.7830544046510235e-05,1.2144912948016316e-05,1.305693568542526e-05,1.6197744013296214e-05,1.4002819399096186e-05,2.5139637408717785e-05,8.590117239970493e-05,9.162002634587697e-05,3.900565013164447e-05,1.3514861243217711e-05,0.0003282473155714409,1.1767305693257131e-05,1.8925231561446188e-05,1.597251890572243e-05,0.05410535938447608,7.632536628203473e-05,2.508950601855391e-05,7.243086762821315e-05,2.9678003780899414e-05,7.528384377922258e-05,4.545785773452831e-05,0.05997380661799941,2.688456419088161e-05,5.828041986605357e-05,2.416528106708809e-05,1.1163998071976741e-05,0.0012607703857341645,8.810177841318192e-06,2.2308842824589837e-05,1.8707897822895862e-05,4.132810620971114e-05,0.1602266381993715,2.4650148214416722e-05,0.08825755030475184,1.1088807858662546e-05,3.372189602007277e-05,7.119410142263508e-06,7.81490549314218e-06,1.6304479761535626e-05,0.1667900163490953,-1.1506129904626892,0.66617953128206,-1.380268327216378,-1.384984080376182,-0.9988671574959033,0.1667900163490953,0.10051070926982236,-0.07138366314114905,0.008979319040605437,-1.3571526501573579,7.8923454566393e-05,0.0076224149670451,0.0014248380903154,0.878033250570297,0.0007071266591083,0.0007400244357995,7,-4.35916092299711,0.233950701324397,-0.0810479969940019,0.722453663738463,0.425140796917769,-1.34074843888034,3.58396583517998,-15.4705392545094,-3.37360740876654,4.166006944773,-6.29844275058522,-0.497003524862487,-76.6807209201526,1.63008554052322,423.348609333661,326.00894159837
